requestId,source,destination,category,urgency,timeSubmitted,deadline,status
SR134,L003,L027,sanitation,HIGH,2026-08-05T10:00:00Z,2026-08-05T16:00:00Z,ASSIGNED
SR135,L010,L040,hazardous_waste,MEDIUM,2026-08-05T11:00:00Z,2026-08-06T11:00:00Z,IN_PROGRESS
SR136,L017,L001,general_waste,LOW,2026-08-05T12:00:00Z,2026-08-07T12:00:00Z,COMPLETED
SR137,L024,L014,recycling,URGENT,2026-08-05T13:00:00Z,2026-08-05T15:00:00Z,PENDING
SR138,L031,L027,drain_cleaning,HIGH,2026-08-05T14:00:00Z,2026-08-05T20:00:00Z,ASSIGNED
SR139,L038,L040,sanitation,MEDIUM,2026-08-05T15:00:00Z,2026-08-06T15:00:00Z,IN_PROGRESS
SR140,L045,L001,hazardous_waste,LOW,2026-08-05T16:00:00Z,2026-08-07T16:00:00Z,COMPLETED
SR141,L052,L014,general_waste,URGENT,2026-08-06T07:00:00Z,2026-08-06T09:00:00Z,PENDING
SR142,L007,L027,recycling,HIGH,2026-08-06T08:00:00Z,2026-08-06T14:00:00Z,ASSIGNED
SR143,L014,L040,drain_cleaning,MEDIUM,2026-08-06T09:00:00Z,2026-08-07T09:00:00Z,IN_PROGRESS
SR144,L021,L001,sanitation,LOW,2026-08-06T10:00:00Z,2026-08-08T10:00:00Z,COMPLETED
SR145,L028,L014,hazardous_waste,URGENT,2026-08-06T11:00:00Z,2026-08-06T13:00:00Z,PENDING
SR146,L035,L027,general_waste,HIGH,2026-08-06T12:00:00Z,2026-08-06T18:00:00Z,ASSIGNED
SR147,L042,L040,recycling,MEDIUM,2026-08-06T13:00:00Z,2026-08-07T13:00:00Z,IN_PROGRESS
SR148,L049,L001,drain_cleaning,LOW,2026-08-06T14:00:00Z,2026-08-08T14:00:00Z,COMPLETED
SR149,L004,L014,sanitation,URGENT,2026-08-07T15:00:00Z,2026-08-07T17:00:00Z,PENDING
SR150,L011,L027,hazardous_waste,HIGH,2026-08-07T16:00:00Z,2026-08-07T22:00:00Z,ASSIGNED
SR151,L018,L040,general_waste,MEDIUM,2026-08-07T07:00:00Z,2026-08-08T07:00:00Z,IN_PROGRESS
SR152,L025,L001,recycling,LOW,2026-08-07T08:00:00Z,2026-08-09T08:00:00Z,COMPLETED
SR153,L032,L014,drain_cleaning,URGENT,2026-08-07T09:00:00Z,2026-08-07T11:00:00Z,PENDING
SR154,L039,L027,sanitation,HIGH,2026-08-07T10:00:00Z,2026-08-07T16:00:00Z,ASSIGNED
SR155,L046,L040,hazardous_waste,MEDIUM,2026-08-07T11:00:00Z,2026-08-08T11:00:00Z,IN_PROGRESS
SR156,L001,L002,general_waste,LOW,2026-08-07T12:00:00Z,2026-08-09T12:00:00Z,COMPLETED
SR157,L008,L014,recycling,URGENT,2026-08-08T13:00:00Z,2026-08-08T15:00:00Z,PENDING
SR158,L015,L027,drain_cleaning,HIGH,2026-08-08T14:00:00Z,2026-08-08T20:00:00Z,ASSIGNED
SR159,L022,L040,sanitation,MEDIUM,2026-08-08T15:00:00Z,2026-08-09T15:00:00Z,IN_PROGRESS
SR160,L029,L001,hazardous_waste,LOW,2026-08-08T16:00:00Z,2026-08-10T16:00:00Z,COMPLETED
SR161,L036,L014,general_waste,URGENT,2026-08-08T07:00:00Z,2026-08-08T09:00:00Z,PENDING
SR162,L043,L027,recycling,HIGH,2026-08-08T08:00:00Z,2026-08-08T14:00:00Z,ASSIGNED
SR163,L050,L040,drain_cleaning,MEDIUM,2026-08-08T09:00:00Z,2026-08-09T09:00:00Z,IN_PROGRESS
SR164,L005,L001,sanitation,LOW,2026-08-08T10:00:00Z,2026-08-10T10:00:00Z,COMPLETED
SR165,L012,L014,hazardous_waste,URGENT,2026-08-09T11:00:00Z,2026-08-09T13:00:00Z,PENDING
SR166,L019,L027,general_waste,HIGH,2026-08-09T12:00:00Z,2026-08-09T18:00:00Z,ASSIGNED
SR167,L026,L040,recycling,MEDIUM,2026-08-09T13:00:00Z,2026-08-10T13:00:00Z,IN_PROGRESS
SR168,L033,L001,drain_cleaning,LOW,2026-08-09T14:00:00Z,2026-08-11T14:00:00Z,COMPLETED
SR169,L040,L014,sanitation,URGENT,2026-08-09T15:00:00Z,2026-08-09T17:00:00Z,PENDING
SR170,L047,L027,hazardous_waste,HIGH,2026-08-09T16:00:00Z,2026-08-09T22:00:00Z,ASSIGNED
SR171,L002,L040,general_waste,MEDIUM,2026-08-09T07:00:00Z,2026-08-10T07:00:00Z,IN_PROGRESS
SR172,L009,L001,recycling,LOW,2026-08-09T08:00:00Z,2026-08-11T08:00:00Z,COMPLETED
SR173,L016,L014,drain_cleaning,URGENT,2026-08-10T09:00:00Z,2026-08-10T11:00:00Z,PENDING
SR174,L023,L027,sanitation,HIGH,2026-08-10T10:00:00Z,2026-08-10T16:00:00Z,ASSIGNED
SR175,L030,L040,hazardous_waste,MEDIUM,2026-08-10T11:00:00Z,2026-08-11T11:00:00Z,IN_PROGRESS
SR176,L037,L001,general_waste,LOW,2026-08-10T12:00:00Z,2026-08-12T12:00:00Z,COMPLETED
SR177,L044,L014,recycling,URGENT,2026-08-10T13:00:00Z,2026-08-10T15:00:00Z,PENDING
SR178,L051,L027,drain_cleaning,HIGH,2026-08-10T14:00:00Z,2026-08-10T20:00:00Z,ASSIGNED
SR179,L006,L040,sanitation,MEDIUM,2026-08-10T15:00:00Z,2026-08-11T15:00:00Z,IN_PROGRESS
SR180,L013,L001,hazardous_waste,LOW,2026-08-10T16:00:00Z,2026-08-12T16:00:00Z,COMPLETED
SR181,L020,L014,general_waste,URGENT,2026-08-11T07:00:00Z,2026-08-11T09:00:00Z,PENDING
SR182,L027,L028,recycling,HIGH,2026-08-11T08:00:00Z,2026-08-11T14:00:00Z,ASSIGNED
SR183,L034,L040,drain_cleaning,MEDIUM,2026-08-11T09:00:00Z,2026-08-12T09:00:00Z,IN_PROGRESS
SR184,L041,L001,sanitation,LOW,2026-08-11T10:00:00Z,2026-08-13T10:00:00Z,COMPLETED
SR185,L048,L014,hazardous_waste,URGENT,2026-08-11T11:00:00Z,2026-08-11T13:00:00Z,PENDING
SR186,L003,L027,general_waste,HIGH,2026-08-11T12:00:00Z,2026-08-11T18:00:00Z,ASSIGNED
SR187,L010,L040,recycling,MEDIUM,2026-08-11T13:00:00Z,2026-08-12T13:00:00Z,IN_PROGRESS
SR188,L017,L001,drain_cleaning,LOW,2026-08-11T14:00:00Z,2026-08-13T14:00:00Z,COMPLETED
SR189,L024,L014,sanitation,URGENT,2026-08-12T15:00:00Z,2026-08-12T17:00:00Z,PENDING
SR190,L031,L027,hazardous_waste,HIGH,2026-08-12T16:00:00Z,2026-08-12T22:00:00Z,ASSIGNED
SR191,L038,L040,general_waste,MEDIUM,2026-08-12T07:00:00Z,2026-08-13T07:00:00Z,IN_PROGRESS
SR192,L045,L001,recycling,LOW,2026-08-12T08:00:00Z,2026-08-14T08:00:00Z,COMPLETED
SR193,L052,L014,drain_cleaning,URGENT,2026-08-12T09:00:00Z,2026-08-12T11:00:00Z,PENDING
SR194,L007,L027,sanitation,HIGH,2026-08-12T10:00:00Z,2026-08-12T16:00:00Z,ASSIGNED
SR195,L014,L040,hazardous_waste,MEDIUM,2026-08-12T11:00:00Z,2026-08-13T11:00:00Z,IN_PROGRESS
SR196,L021,L001,general_waste,LOW,2026-08-12T12:00:00Z,2026-08-14T12:00:00Z,COMPLETED
SR197,L028,L014,recycling,URGENT,2026-08-13T13:00:00Z,2026-08-13T15:00:00Z,PENDING
SR198,L035,L027,drain_cleaning,HIGH,2026-08-13T14:00:00Z,2026-08-13T20:00:00Z,ASSIGNED
SR199,L042,L040,sanitation,MEDIUM,2026-08-13T15:00:00Z,2026-08-14T15:00:00Z,IN_PROGRESS
SR200,L049,L001,hazardous_waste,LOW,2026-08-13T16:00:00Z,2026-08-15T16:00:00Z,COMPLETED
